"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE ","52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
 17-Aug-2022"
"NIFTY 50","19,301.75","19,373.80","19,253.60","19,365.25","19,310.15","-55.10","-0.28","256,140,943","256,412,154,537.78","19,991.85","16,747.70","-2.20","8.74"
"ADANIENT","2,477.50","2,665.95","2,461.30","2,479.70","2,570.95","91.25","3.68","14,679,923","37,624,349,050.54","4,190.00","1,017.45","6.67","-17.66"
"ADANIPORTS","807.00","849.60","804.30","809.65","834.00","24.35","3.01","22,502,392","18,705,338,373.92","987.85","395.10","14.75","-4.12"
"EICHERMOT","3,298.00","3,369.00","3,274.90","3,298.45","3,345.00","46.55","1.41","680,218","2,268,356,975.50","3,889.65","2,836.00","1.03","-2.18"
"MARUTI","9,350.00","9,470.00","9,336.65","9,375.30","9,460.90","85.60","0.91","400,745","3,779,378,005.60","10,036.95","8,076.05","-3.21","7.71"
"BRITANNIA","4,499.00","4,554.80","4,461.00","4,501.60","4,535.00","33.40","0.74","423,415","1,913,492,833.85","5,270.35","3,564.10","-10.14","23.82"
"AXISBANK","934.85","945.95","931.05","936.55","942.50","5.95","0.64","6,648,719","6,263,558,708.33","990.00","707.70","-2.91","24.50"
"NESTLEIND","21,667.45","21,880.00","21,450.00","21,667.45","21,799.00","131.55","0.61","65,667","1,426,869,706.29","23,395.35","17,880.00","-5.01","12.29"
"RELIANCE","2,531.25","2,577.60","2,508.55","2,538.00","2,551.05","13.05","0.51","9,319,989","23,701,943,625.57","2,856.00","2,180.00","0.71","-2.18"
"HINDUNILVR","2,532.10","2,567.75","2,532.10","2,543.25","2,555.70","12.45","0.49","1,970,819","5,035,619,918.71","2,769.65","2,393.00","-1.89","-3.03"
"TATASTEEL","116.30","116.40","114.75","116.05","116.40","0.35","0.30","30,381,609","3,510,291,103.86","124.30","95.00","-0.69","5.22"
"ITC","441.00","443.35","438.50","441.00","441.00","-","-","19,323,251","8,518,461,970.84","499.70","308.85","-9.95","41.55"
"TATAMOTORS","612.80","620.10","610.90","613.75","613.20","-0.55","-0.09","11,190,460","6,890,637,649.60","665.40","375.20","-1.59","30.74"
"TATACONSUM","845.00","848.95","835.50","844.25","843.40","-0.85","-0.10","1,145,798","966,194,163.50","883.95","686.60","-1.15","7.07"
"ULTRACEMCO","8,200.00","8,246.40","8,165.80","8,207.35","8,198.00","-9.35","-0.11","265,260","2,177,036,566.80","8,499.00","6,005.00","1.18","23.58"
"DIVISLAB","3,661.75","3,682.15","3,621.00","3,654.75","3,650.05","-4.70","-0.13","436,067","1,589,725,855.20","3,934.70","2,730.00","-0.91","-1.12"
"BHARTIARTL","856.70","862.00","852.25","856.70","855.40","-1.30","-0.15","4,929,835","4,223,586,837.90","901.40","686.20","-3.36","16.93"
"INDUSINDBK","1,369.00","1,377.00","1,360.85","1,374.30","1,372.10","-2.20","-0.16","1,720,129","2,355,338,237.12","1,446.00","990.00","-2.53","29.00"
"SBIN","570.00","575.25","567.40","572.15","571.15","-1.00","-0.17","18,253,216","10,437,006,376.64","629.55","499.35","-6.85","10.11"
"LTIM","5,100.00","5,114.00","5,011.60","5,097.55","5,085.00","-12.55","-0.25","338,104","1,712,560,999.76","5,430.00","4,121.00","3.30","-"
"ICICIBANK","947.90","955.00","946.00","951.65","948.95","-2.70","-0.28","13,257,508","12,614,784,012.16","1,008.70","796.00","-4.65","9.22"
"HCLTECH","1,173.00","1,177.85","1,158.65","1,176.70","1,173.00","-3.70","-0.31","3,406,088","3,985,906,360.24","1,202.60","882.00","5.22","20.99"
"SBILIFE","1,278.55","1,285.85","1,266.00","1,284.45","1,280.00","-4.45","-0.35","886,254","1,131,613,419.90","1,374.00","1,054.00","-0.64","-1.12"
"NTPC","215.80","216.65","213.30","215.75","215.00","-0.75","-0.35","14,101,163","3,032,737,126.41","226.65","155.00","10.28","36.39"
"JSWSTEEL","789.90","793.90","783.30","789.75","785.95","-3.80","-0.48","1,546,387","1,218,692,130.83","835.00","614.20","0.08","18.44"
"HDFCBANK","1,587.55","1,596.30","1,585.50","1,597.30","1,588.70","-8.60","-0.54","12,816,683","20,386,087,812.97","1,757.50","1,365.00","-5.07","6.54"
"COALINDIA","228.50","228.95","227.00","232.30","227.05","-1.25","-0.55","6,904,016","1,572,596,764.48","263.40","207.60","-0.68","4.74"
"GRASIM","1,795.00","1,800.85","1,785.65","1,800.85","1,790.00","-10.85","-0.60","439,611","788,042,282.49","1,868.40","1,527.05","-0.76","11.53"
"DRREDDY","5,899.50","5,980.00","5,840.60","5,880.65","5,842.95","-37.70","-0.64","856,329","5,065,913,914.65","5,980.00","3,997.00","11.09","39.73"
"TITAN","3,070.60","3,079.50","3,035.00","3,071.75","3,052.00","-19.75","-0.64","860,782","2,628,130,994.58","3,210.00","2,269.60","2.49","24.99"
"LT","2,650.00","2,674.70","2,632.75","2,652.50","2,634.75","-17.75","-0.67","1,898,964","5,051,111,312.52","2,695.00","1,797.40","2.15","36.46"
"HDFCLIFE","623.00","627.45","616.75","628.40","623.90","-4.50","-0.72","2,392,364","1,490,729,855.68","690.85","457.80","-3.30","8.55"
"ASIANPAINT","3,174.90","3,185.50","3,155.00","3,183.25","3,160.00","-23.25","-0.73","592,652","1,877,966,025.00","3,582.90","2,685.85","-10.07","-9.16"
"CIPLA","1,239.00","1,257.00","1,231.00","1,241.00","1,231.00","-10.00","-0.81","1,292,509","1,607,506,368.39","1,277.90","852.00","17.87","20.03"
"APOLLOHOSP","4,874.95","4,895.00","4,825.10","4,892.75","4,840.00","-43.75","-0.90","336,848","1,636,549,060.16","5,364.00","3,987.85","-6.85","17.24"
"KOTAKBANK","1,757.10","1,768.40","1,746.50","1,765.70","1,749.40","-16.30","-0.92","4,113,292","7,239,969,780.88","2,064.40","1,643.50","-11.14","-6.72"
"BAJAJ-AUTO","4,649.55","4,649.55","4,595.30","4,657.85","4,610.00","-47.85","-1.03","243,545","1,125,494,508.50","4,995.10","3,461.25","-5.08","13.28"
"BAJFINANCE","6,893.50","6,915.80","6,845.00","6,923.25","6,850.00","-73.25","-1.06","745,531","5,123,870,546.18","7,999.90","5,485.70","-9.49","-6.02"
"BAJAJFINSV","1,470.00","1,478.30","1,456.00","1,476.85","1,459.35","-17.50","-1.18","1,053,734","1,542,424,217.18","1,844.00","1,215.00","-10.58","-91.04"
"POWERGRID","243.65","243.65","240.10","243.70","240.70","-3.00","-1.23","9,219,181","2,227,722,896.84","267.00","186.35","-1.27","5.63"
"UPL","584.00","587.65","576.95","584.95","577.40","-7.55","-1.29","2,394,196","1,390,860,282.28","807.00","576.95","-8.85","-24.71"
"BPCL","356.95","358.35","352.05","356.95","352.05","-4.90","-1.37","2,388,652","846,562,155.32","397.90","288.05","-9.66","4.33"
"SUNPHARMA","1,141.00","1,149.30","1,129.00","1,144.80","1,129.05","-15.75","-1.38","1,473,774","1,676,285,285.34","1,169.70","856.80","3.44","25.91"
"WIPRO","415.05","416.35","408.00","417.55","411.50","-6.05","-1.45","5,301,196","2,178,420,472.28","442.50","352.00","1.73","-4.80"
"ONGC","177.65","177.65","174.15","177.75","174.50","-2.75","-1.55","6,734,650","1,183,480,044.50","180.45","121.50","2.79","30.24"
"M&M","1,568.75","1,582.55","1,544.60","1,573.50","1,548.90","-24.60","-1.56","2,202,570","3,434,070,938.40","1,594.80","1,123.40","1.91","25.27"
"INFY","1,403.70","1,408.70","1,386.15","1,411.55","1,387.00","-24.55","-1.74","5,134,082","7,145,563,986.78","1,672.60","1,185.30","4.30","-13.04"
"HINDALCO","447.50","447.50","438.15","447.60","439.20","-8.40","-1.88","3,990,678","1,759,689,464.10","504.00","358.80","1.15","2.84"
"TCS","3,410.00","3,410.00","3,356.50","3,435.75","3,368.00","-67.75","-1.97","2,526,747","8,524,764,296.07","3,575.00","2,926.10","-0.04","-0.55"
"TECHM","1,225.95","1,225.95","1,205.15","1,231.75","1,206.95","-24.80","-2.01","1,794,419","2,177,096,795.94","1,270.75","981.05","1.31","9.66"
"HEROMOTOCO","2,989.70","2,989.70","2,920.00","2,991.05","2,926.00","-65.05","-2.17","560,922","1,647,764,467.20","3,244.00","2,246.00","-5.64","3.11"
